controller	method	step	fired	zvf_obs	Gstar	zvf_target	cost_ratio	delta_z	net_benefit
DUALFORMER_AUTO_d4	gift	33	1	0.9375	12	0.9501	1.5000	-0.0126	-0.2626
DUALFORMER_AUTO_d4	gift	34	1	1.0000	12	1.0000	1.5000	0.0000	-0.2500
DUALFORMER_AUTO_d4	gift	35	1	0.9375	12	0.9501	1.5000	-0.0126	-0.2626
DUALFORMER_AUTO_d4	gift	36	1	0.9375	12	0.9375	1.5000	-0.0000	-0.2500
DUALFORMER_AUTO_d4	gift	37	1	0.8750	12	0.8878	1.5000	-0.0128	-0.2628
DUALFORMER_AUTO_d4	gift	38	1	0.9375	12	0.9377	1.5000	-0.0002	-0.2502
DUALFORMER_AUTO_d4	gift	39	1	0.8125	12	0.8147	1.5000	-0.0022	-0.2522
DUALFORMER_AUTO_d4	areal	0	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	1	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	2	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	3	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	4	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	5	1	0.7500	12	0.7756	1.5000	-0.0256	-0.2756
DUALFORMER_AUTO_d4	areal	6	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	7	1	0.8750	12	0.9002	1.5000	-0.0252	-0.2752
DUALFORMER_AUTO_d4	areal	8	0	0.6250	8	0.6250	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	9	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	10	0	0.6875	8	0.6875	1.0000	0.0000	0.0000
DUALFORMER_AUTO_d4	areal	11	0	0.5000	8	0.5000	1.0000	0.0000	0.0000
