cost_llm	cost_ratio	rate	tree	rule	n_test_eff	n_llm_calls	n_pos_caught_at_K	cpd_usd	cpf_usd
0.1	1000.0	0.001	XGB-24full	absolute_band	10000	0	10	0.0001	0.1
0.1	1000.0	0.001	XGB-4sensor	xgb_only	10000	0	6	0.0001	0.16666666666666666
0.1	1000.0	0.001	XGB-4sensor	gradient_band	10000	57	6	0.00066943	1.1157166666666667
0.1	1000.0	0.001	XGB-4sensor	absolute_band	10000	0	6	0.0001	0.16666666666666666
0.1	1000.0	0.0005	XGB-20raw	xgb_only	10000	0	5	0.0001	0.2
0.1	1000.0	0.0005	XGB-20raw	gradient_band	10000	51	5	0.00060949	1.21898
0.1	1000.0	0.0005	XGB-20raw	absolute_band	10000	0	5	0.0001	0.2
0.1	1000.0	0.0005	XGB-24full	xgb_only	10000	0	5	0.0001	0.2
0.1	1000.0	0.0005	XGB-24full	gradient_band	10000	57	5	0.00066943	1.33886
0.1	1000.0	0.0005	XGB-24full	absolute_band	10000	0	5	0.0001	0.2
0.1	1000.0	0.0005	XGB-4sensor	xgb_only	10000	0	2	0.0001	0.5
0.1	1000.0	0.0005	XGB-4sensor	gradient_band	10000	59	2	0.00068941	3.44705
0.1	1000.0	0.0005	XGB-4sensor	absolute_band	10000	0	2	0.0001	0.5
