seed	rate_pct	fset	tier	utility	opt_tau	n_pos_te	tp	fp	alerted	fn	precision	recall	f1	cost_per_caught
20260706	0.5	24full	small_open	F1	0.756	50	46	31	77	4	0.5974025974025974	0.92	0.7244094488188978	0.0010043478260869565
20260706	0.5	24full	small_open	VALUE	0.566	50	50	131	181	0	0.27624309392265195	1.0	0.43290043290043295	0.002172
20260706	0.5	24full	small_open	PREC_CONSTRAINED	0.706	50	47	46	93	3	0.5053763440860215	0.94	0.6573426573426574	0.0011872340425531913
20260706	0.5	24full	small_open	COST_CONSTRAINED	0.001	50	50	9847	9897	0	0.0050520359704961096	1.0	0.010053282396702522	0.11876399999999998
20260706	0.5	24full	iter120_default	F1	0.756	50	46	31	77	4	0.5974025974025974	0.92	0.7244094488188978	0.0016739130434782609
20260706	0.5	24full	iter120_default	VALUE	0.566	50	50	131	181	0	0.27624309392265195	1.0	0.43290043290043295	0.00362
20260706	0.5	24full	iter120_default	PREC_CONSTRAINED	0.706	50	47	46	93	3	0.5053763440860215	0.94	0.6573426573426574	0.0019787234042553193
20260706	0.5	24full	iter120_default	COST_CONSTRAINED	0.001	50	50	9847	9897	0	0.0050520359704961096	1.0	0.010053282396702522	0.19794
20260706	0.5	24full	mid_tier	F1	0.756	50	46	31	77	4	0.5974025974025974	0.92	0.7244094488188978	0.008369565217391305
20260706	0.5	24full	mid_tier	VALUE	0.566	50	50	131	181	0	0.27624309392265195	1.0	0.43290043290043295	0.0181
20260706	0.5	24full	mid_tier	PREC_CONSTRAINED	0.706	50	47	46	93	3	0.5053763440860215	0.94	0.6573426573426574	0.009893617021276595
20260706	0.5	24full	mid_tier	COST_CONSTRAINED	0.001	50	50	9847	9897	0	0.0050520359704961096	1.0	0.010053282396702522	0.9897
20260706	0.5	24full	frontier_gpt4	F1	0.756	50	46	31	77	4	0.5974025974025974	0.92	0.7244094488188978	0.050217391304347825
20260706	0.5	24full	frontier_gpt4	VALUE	0.566	50	50	131	181	0	0.27624309392265195	1.0	0.43290043290043295	0.10859999999999999
20260706	0.5	24full	frontier_gpt4	PREC_CONSTRAINED	0.706	50	47	46	93	3	0.5053763440860215	0.94	0.6573426573426574	0.05936170212765957
20260706	0.5	24full	frontier_gpt4	COST_CONSTRAINED	0.001	50	50	9847	9897	0	0.0050520359704961096	1.0	0.010053282396702522	5.938199999999999
20260706	0.5	20raw	cheap_heuristic	F1	0.836	50	33	9	42	17	0.7857142857142857	0.66	0.717391304347826	0.00012727272727272728
20260706	0.5	20raw	cheap_heuristic	VALUE	0.596	50	50	118	168	0	0.2976190476190476	1.0	0.4587155963302752	0.00033600000000000004
20260706	0.5	20raw	cheap_heuristic	PREC_CONSTRAINED	0.731	50	43	42	85	7	0.5058823529411764	0.86	0.6370370370370371	0.00019767441860465116
20260706	0.5	20raw	cheap_heuristic	COST_CONSTRAINED	0.001	50	50	9843	9893	0	0.005054078641463661	1.0	0.010057326762546514	0.019786
20260706	0.5	20raw	small_open	F1	0.836	50	33	9	42	17	0.7857142857142857	0.66	0.717391304347826	0.0007636363636363636
20260706	0.5	20raw	small_open	VALUE	0.596	50	50	118	168	0	0.2976190476190476	1.0	0.4587155963302752	0.0020159999999999996
20260706	0.5	20raw	small_open	PREC_CONSTRAINED	0.731	50	43	42	85	7	0.5058823529411764	0.86	0.6370370370370371	0.001186046511627907
