method	step	k_p	p_hat	is_boundary	tau_fired	static_G_N	restored_static	eff_static	optimal_G_N	restored_optimal	eff_optimal	savings_rollouts	savings_frac	prompt_idx
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	14
grpo	34	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	15
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	0
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	1
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	2
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	3
grpo	35	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	4
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	5
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	6
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	7
grpo	35	0	0.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	8
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	9
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	10
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	11
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	12
grpo	35	8	1.0	1	0.7	16	0.0	0.0	8	0.0	0.0	8	0.5	13
grpo	35	6	0.75	0	0.7	16	0.09010557783767581	0.09010557783767581	12	0.06845176219940186	0.1369035243988037	4	0.25	14
